Data,Receitas,Despesas,Categoria,Região,Cliente_Chave,Data da Transação,Categoria da Transação,Descrição,Valor,Método de Pagamento,Contas a Pagar e a Receber,Data de Vencimento,Valor Contas,Status,Saldo Inicial,Centro de Custo/Departamento,Receitas Recorrentes,Previsão de Receita,Previsão de Despesas,Valor do Empréstimo,Parcelas e Vencimentos,Valor de Impostos,Datas de Vencimento Impostos,Estoque,Custos de Produção
2023-01-01,58193,55210,Infraestrutura de TI,Norte,Sim,2023-02-02,Licenciamento de Software,Contrato de Serviço,74462,Transferência,A Pagar,2023-04-05,38773,Atrasado,392701,Comercial,72186,95390,55704,273573,20 parcelas até 2023-09-04,20865,2023-08-31,69,21129
2023-01-02,99762,63072,Desenvolvimento de Software,Sul,Não,2023-05-30,Licenciamento de Software,Venda de Hardware,77293,Boleto,A Receber,2023-09-19,5200,Atrasado,253124,Desenvolvimento,27370,92540,53522,909676,3 parcelas até 2023-08-25,16641,2023-05-19,58,48314
2023-01-03,23789,79501,Suporte Técnico,Nordeste,Não,2023-06-21,Licenciamento de Software,Venda de Hardware,73411,PIX,A Receber,2023-12-06,24683,Pendente,155905,Infraestrutura,65823,129352,21666,607139,30 parcelas até 2023-09-15,41698,2023-03-27,14,22608
2023-01-04,15576,8183,Suporte Técnico,Norte,Não,2023-09-19,Licenciamento de Software,Venda de Hardware,48074,Transferência,A Pagar,2023-12-15,8759,Pago,56244,Infraestrutura,52472,145696,50326,883430,36 parcelas até 2023-09-29,23262,2023-12-04,86,26021
2023-01-05,13034,27270,Infraestrutura de TI,Sudeste,Sim,2023-06-14,Manutenção,Faturamento de Licença,79789,Cartão de Crédito,A Pagar,2023-07-24,18502,Pendente,271318,Marketing,55808,196231,81759,75896,14 parcelas até 2023-04-07,44848,2023-09-06,50,1852
2023-01-06,28792,6978,Suporte Técnico,Sul,Sim,2023-04-20,Licenciamento de Software,Contrato de Serviço,83930,Cartão de Crédito,A Receber,2023-06-06,37917,Atrasado,478604,Marketing,26901,120707,45371,777067,1 parcelas até 2023-12-16,11442,2023-04-26,84,17407
2023-01-07,45228,5227,Consultoria em TI,Nordeste,Não,2023-12-23,Venda de Equipamentos,Contrato de Serviço,45844,Boleto,A Receber,2023-06-23,45632,Pendente,473229,Marketing,28797,85424,28270,477669,25 parcelas até 2023-04-23,31955,2023-09-23,73,6839
2023-01-08,67574,65031,Infraestrutura de TI,Nordeste,Sim,2023-04-08,Licenciamento de Software,Venda de Hardware,30967,PIX,A Receber,2023-04-06,37949,Atrasado,191599,Marketing,64648,157545,82800,102268,26 parcelas até 2023-03-02,24709,2023-04-26,14,19969
2023-01-09,27789,72313,Suporte Técnico,Norte,Não,2023-08-19,Serviços Gerenciados,Contrato de Serviço,87493,Transferência,A Receber,2023-12-05,45253,Pago,326119,Comercial,62637,71464,97467,112862,22 parcelas até 2023-11-18,41343,2023-04-13,20,45533
2023-01-10,31925,13746,Desenvolvimento de Software,Sudeste,Sim,2023-01-03,Serviços Gerenciados,Manutenção de Servidor,39138,Transferência,A Pagar,2023-08-14,33657,Atrasado,489468,Infraestrutura,22367,142281,82783,624737,5 parcelas até 2023-03-25,48552,2023-07-19,19,21868
2023-01-11,68721,59337,Infraestrutura de TI,Sul,Sim,2023-05-12,Serviços Gerenciados,Manutenção de Servidor,21409,Cartão de Crédito,A Receber,2023-01-29,45420,Atrasado,357551,Marketing,54335,172957,28161,493412,10 parcelas até 2023-08-12,7423,2023-12-05,88,19228
2023-01-12,86418,64801,Infraestrutura de TI,Norte,Sim,2023-07-19,Licenciamento de Software,Faturamento de Licença,92436,PIX,A Receber,2023-05-09,45724,Pendente,207026,Comercial,44052,160530,55081,360341,10 parcelas até 2023-06-17,28534,2023-12-31,56,37533
2023-01-13,87925,55402,Suporte Técnico,Sul,Sim,2023-02-06,Manutenção,Manutenção de Servidor,11896,PIX,A Receber,2023-07-19,48819,Pago,456665,Marketing,22589,64329,34908,400613,32 parcelas até 2023-05-24,33881,2023-10-27,32,17416
2023-01-14,22354,14364,Suporte Técnico,Norte,Sim,2023-06-02,Licenciamento de Software,Venda de Hardware,22543,Boleto,A Receber,2023-03-05,25644,Pago,468641,Infraestrutura,76458,126214,37871,74066,9 parcelas até 2023-04-07,43138,2023-12-09,44,7998
2023-01-15,69893,61340,Suporte Técnico,Sul,Não,2023-01-05,Manutenção,Venda de Hardware,54466,PIX,A Pagar,2023-08-13,6636,Pendente,479190,Marketing,60691,180614,24700,92172,10 parcelas até 2023-07-06,41889,2023-04-21,16,43306
2023-01-16,62586,50118,Suporte Técnico,Sul,Sim,2023-12-26,Manutenção,Manutenção de Servidor,29839,PIX,A Receber,2023-03-28,22935,Pago,390631,Infraestrutura,40155,88715,89315,643947,26 parcelas até 2023-12-15,10710,2023-11-24,16,38525
2023-01-17,18807,28636,Desenvolvimento de Software,Norte,Não,2023-07-25,Serviços Gerenciados,Faturamento de Licença,10086,Transferência,A Receber,2023-04-21,39870,Pendente,361519,Marketing,32181,178245,63152,782370,16 parcelas até 2023-01-10,21575,2023-03-25,89,31953
2023-01-18,17892,45339,Infraestrutura de TI,Sudeste,Sim,2023-02-02,Licenciamento de Software,Faturamento de Licença,60320,Cartão de Crédito,A Receber,2023-06-19,29216,Atrasado,402753,Infraestrutura,40717,199035,68260,371673,9 parcelas até 2023-04-15,35415,2023-08-14,14,11438
2023-01-19,50764,7538,Consultoria em TI,Nordeste,Não,2023-02-22,Serviços Gerenciados,Faturamento de Licença,7580,Boleto,A Receber,2023-06-24,38547,Atrasado,203780,Desenvolvimento,30350,58307,74021,324375,31 parcelas até 2023-11-15,48786,2023-05-28,29,43182
2023-01-20,51188,42133,Desenvolvimento de Software,Sul,Não,2023-04-30,Licenciamento de Software,Faturamento de Licença,17781,PIX,A Receber,2023-10-22,17314,Atrasado,59522,Comercial,40772,170388,79772,596190,24 parcelas até 2023-09-05,13962,2023-03-03,61,46710
2023-01-21,19751,24638,Consultoria em TI,Norte,Não,2023-05-18,Licenciamento de Software,Venda de Hardware,91120,Cartão de Crédito,A Pagar,2023-06-25,10682,Pendente,422174,Infraestrutura,27594,94356,99252,926223,9 parcelas até 2023-12-03,9995,2023-02-05,44,30242
2023-01-22,97899,51504,Infraestrutura de TI,Nordeste,Não,2023-09-15,Venda de Equipamentos,Manutenção de Servidor,8225,Boleto,A Receber,2023-07-16,7078,Atrasado,219735,Marketing,68218,103232,42643,614123,29 parcelas até 2023-06-13,22293,2023-07-15,68,45510
2023-01-23,25223,50764,Consultoria em TI,Sudeste,Não,2023-09-02,Manutenção,Faturamento de Licença,77389,Transferência,A Pagar,2023-06-13,35191,Pago,105065,Marketing,72476,184779,26275,391561,28 parcelas até 2023-08-16,13876,2023-04-13,63,39857
2023-01-24,96949,24034,Suporte Técnico,Nordeste,Sim,2023-08-13,Licenciamento de Software,Venda de Hardware,75471,PIX,A Receber,2023-04-19,9090,Pago,344232,Comercial,39371,50062,75313,324233,36 parcelas até 2023-08-18,34549,2023-05-16,78,13329
2023-01-25,78666,11356,Infraestrutura de TI,Nordeste,Sim,2023-05-15,Venda de Equipamentos,Contrato de Serviço,83069,Transferência,A Receber,2023-04-04,45039,Pendente,135834,Desenvolvimento,34694,112189,60103,125611,14 parcelas até 2023-07-21,22522,2023-09-15,80,2872
2023-01-26,36695,24527,Desenvolvimento de Software,Norte,Não,2023-01-11,Venda de Equipamentos,Contrato de Serviço,81225,Boleto,A Pagar,2023-10-22,11517,Pago,381631,Comercial,35382,69315,46809,810843,27 parcelas até 2023-05-28,11012,2023-10-24,72,19467
2023-01-27,45084,31638,Suporte Técnico,Sudeste,Não,2023-10-22,Serviços Gerenciados,Faturamento de Licença,66085,Cartão de Crédito,A Pagar,2023-10-22,29276,Pago,357161,Comercial,20356,191124,74559,562427,5 parcelas até 2023-07-26,34074,2023-08-24,26,42964
2023-01-28,82286,5107,Consultoria em TI,Nordeste,Sim,2023-06-25,Serviços Gerenciados,Contrato de Serviço,44649,Cartão de Crédito,A Pagar,2023-02-04,24849,Pendente,226716,Infraestrutura,41670,87642,73637,198202,1 parcelas até 2023-07-30,11694,2023-04-17,61,39790
2023-01-29,50614,28232,Suporte Técnico,Sul,Não,2023-10-14,Venda de Equipamentos,Venda de Hardware,94861,Boleto,A Pagar,2023-04-16,23664,Atrasado,360743,Infraestrutura,70951,97090,74604,112543,7 parcelas até 2023-11-11,41140,2023-02-27,18,27987
2023-01-30,39493,65307,Desenvolvimento de Software,Nordeste,Sim,2023-11-29,Licenciamento de Software,Venda de Hardware,93393,Transferência,A Receber,2023-05-21,5925,Atrasado,369215,Desenvolvimento,33312,50171,96279,419705,13 parcelas até 2023-09-03,13225,2023-03-24,34,27859
2023-01-31,76819,47454,Consultoria em TI,Sudeste,Não,2023-01-18,Manutenção,Faturamento de Licença,75930,Transferência,A Receber,2023-09-14,44153,Pago,450849,Desenvolvimento,59527,184747,36741,220251,12 parcelas até 2023-10-22,28796,2023-01-20,59,23265
2023-02-01,10629,13446,Infraestrutura de TI,Sul,Sim,2023-10-28,Licenciamento de Software,Faturamento de Licença,14839,Boleto,A Receber,2023-10-05,18229,Atrasado,53875,Marketing,74126,105111,55098,64196,24 parcelas até 2023-02-20,41924,2023-07-31,87,9747
2023-02-02,13779,77967,Consultoria em TI,Norte,Não,2023-11-02,Serviços Gerenciados,Manutenção de Servidor,24417,PIX,A Receber,2023-04-10,40648,Pago,307203,Marketing,71874,90055,51026,451035,10 parcelas até 2023-05-11,27825,2023-07-12,75,7897
2023-02-03,97897,77563,Infraestrutura de TI,Norte,Sim,2023-01-19,Manutenção,Contrato de Serviço,70134,PIX,A Pagar,2023-02-28,7485,Atrasado,434223,Infraestrutura,39145,178400,42237,975285,23 parcelas até 2023-12-30,27757,2023-03-19,78,2008
2023-02-04,17157,77108,Desenvolvimento de Software,Norte,Não,2023-10-22,Venda de Equipamentos,Manutenção de Servidor,54558,Cartão de Crédito,A Receber,2023-12-14,14808,Pago,220796,Marketing,56409,88646,53218,104851,28 parcelas até 2023-11-15,17939,2023-01-04,67,23785
2023-02-05,84603,57732,Desenvolvimento de Software,Nordeste,Não,2023-02-03,Licenciamento de Software,Manutenção de Servidor,14037,PIX,A Pagar,2023-11-12,40576,Atrasado,174048,Infraestrutura,38646,75082,37504,635962,22 parcelas até 2023-11-02,33047,2023-04-11,33,15061
2023-02-06,62759,78119,Desenvolvimento de Software,Norte,Não,2023-02-09,Venda de Equipamentos,Manutenção de Servidor,31384,Boleto,A Pagar,2023-01-16,42898,Atrasado,226979,Comercial,40260,60356,95049,322886,36 parcelas até 2023-09-28,29268,2023-08-27,14,28249
2023-02-07,81885,55939,Consultoria em TI,Nordeste,Sim,2023-06-04,Venda de Equipamentos,Faturamento de Licença,55890,Cartão de Crédito,A Receber,2023-11-24,18694,Pago,487329,Comercial,53697,158415,57404,792028,26 parcelas até 2023-12-19,14973,2023-12-05,43,2727
2023-02-08,26620,21861,Infraestrutura de TI,Norte,Sim,2023-10-14,Licenciamento de Software,Faturamento de Licença,5816,Boleto,A Pagar,2023-12-22,36164,Atrasado,438958,Desenvolvimento,73105,185840,54633,211773,14 parcelas até 2023-08-04,8936,2023-04-16,57,13381
2023-02-09,13402,75050,Consultoria em TI,Nordeste,Sim,2023-09-30,Manutenção,Contrato de Serviço,35569,PIX,A Receber,2023-05-13,25934,Pendente,169992,Desenvolvimento,48500,62830,65790,59623,22 parcelas até 2023-06-24,32971,2023-05-08,89,9635
2023-02-10,27851,78568,Desenvolvimento de Software,Sul,Sim,2023-12-11,Venda de Equipamentos,Manutenção de Servidor,45953,Boleto,A Pagar,2023-04-29,39598,Pendente,433372,Marketing,23040,166867,83899,80292,29 parcelas até 2023-01-12,13137,2023-03-28,38,8128
2023-02-11,29237,11410,Consultoria em TI,Nordeste,Não,2023-10-18,Manutenção,Contrato de Serviço,21229,Cartão de Crédito,A Pagar,2023-01-23,17687,Pago,89044,Comercial,31851,55138,97569,828976,6 parcelas até 2023-10-21,47915,2023-12-14,49,7868
2023-02-12,92991,43594,Infraestrutura de TI,Norte,Sim,2023-07-15,Manutenção,Venda de Hardware,71658,Cartão de Crédito,A Pagar,2023-10-22,29680,Atrasado,273298,Desenvolvimento,56113,112300,92670,734923,10 parcelas até 2023-10-19,49923,2023-11-06,52,46699
2023-02-13,45662,43437,Infraestrutura de TI,Sul,Não,2023-04-24,Licenciamento de Software,Manutenção de Servidor,56760,Transferência,A Pagar,2023-12-16,12013,Atrasado,335401,Marketing,55187,96561,64482,194375,34 parcelas até 2023-03-21,25510,2023-03-24,95,13519
2023-02-14,44166,72687,Desenvolvimento de Software,Norte,Não,2023-10-11,Licenciamento de Software,Venda de Hardware,84767,Boleto,A Receber,2023-10-21,24316,Atrasado,113698,Desenvolvimento,48297,125145,59420,758444,7 parcelas até 2023-12-05,17688,2023-03-22,63,4177
2023-02-15,55783,77542,Consultoria em TI,Norte,Não,2023-04-29,Serviços Gerenciados,Venda de Hardware,82179,Boleto,A Receber,2023-05-10,36776,Pendente,325432,Desenvolvimento,61393,91823,50508,967087,7 parcelas até 2023-10-22,27570,2023-09-18,42,21698
2023-02-16,65710,42867,Consultoria em TI,Nordeste,Não,2023-07-21,Licenciamento de Software,Venda de Hardware,88767,Cartão de Crédito,A Pagar,2023-07-10,14466,Pago,105957,Infraestrutura,55428,121502,67562,337619,20 parcelas até 2023-10-04,5421,2023-05-06,25,45399
2023-02-17,64540,79390,Suporte Técnico,Sudeste,Sim,2023-05-01,Manutenção,Faturamento de Licença,64597,PIX,A Pagar,2023-04-14,37473,Atrasado,214022,Marketing,22387,150405,47553,179089,36 parcelas até 2023-08-19,23323,2023-03-29,13,36973
2023-02-18,13426,71430,Infraestrutura de TI,Nordeste,Sim,2023-12-27,Venda de Equipamentos,Faturamento de Licença,71620,Boleto,A Receber,2023-02-07,21386,Atrasado,189422,Comercial,33580,54911,82932,67639,5 parcelas até 2023-01-23,29101,2023-11-05,15,16653
